BUSINESS NAME,BUSINESS OPEN DATE,BUSINESS STATUS,BUSINESS CLOSE DATE,NAICS CODE,NAICS CATEGORY,NAICS GROUP,FULL STREET NAME,CITY,STATE,LATITUDE,LONGITUDE
GAMEDAY DESIGNS LLC,10/01/2014,O,,451000,"Sporting Goods, Hobby, Book & Music Stores",RETAIL TRADE (G),N SNOWDEN AVE,BATON ROUGE,LA,-91.022214362778,30.402234525359
MLL SENTURE LLC,02/01/2016,O,,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),JEFFERSON HWY,BATON ROUGE,LA,-91.043601201555,30.39423727175
LOUISIANA SOUTHERN BOILER LLC,02/14/2017,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),GREENWELL SPRINGS RD,BATON ROUGE,LA,-91.077745483129,30.487253923075
OPTIMAL WIRELESS LLC,06/30/2017,C,04/26/2019,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),FLORIDA BLVD,BATON ROUGE,LA,-91.099225165362,30.452906381122
OPTIMAL WIRELESS LLC,06/30/2017,C,04/26/2019,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),SIEGEN LN,BATON ROUGE,LA,-91.060528135845,30.389982128524
RONALD WILLIAMS,03/01/2016,O,,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),LEONIDAS ST,BATON ROUGE,LA,-91.166321902447,30.556004887266
GULFSOUTH AREA EMPLOYMENT SERVICE LLC,12/09/2014,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),MONTRACHET DR,BATON ROUGE,LA,-90.962001287963,30.355798999339
ROSEHILL CONSTRUCTION LLC,02/01/2019,O,,236000,Construction of Buildings,CONSTRUCTION ( C ),JEFFERSON HWY,BATON ROUGE,LA,-91.070382213373,30.408936280625
BA RESTAURANTS LLC,03/15/2019,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),PERKINS RD,BATON ROUGE,LA,-91.108368500549,30.39485221074
VARGAS LLC,09/16/2016,O,,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),OLD HAMMOND HWY,BATON ROUGE,LA,-91.021904744141,30.453461607373
ABUMARAM INC,10/01/2015,O,,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),ELMER AVE,BATON ROUGE,LA,-91.194042482089,30.538347562452
ABUMARAM INC,10/01/2015,O,,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),ELMER AVE,BATON ROUGE,LA,-91.194042482089,30.538347562452
SRG BATON ROUGE LLC,12/30/2013,C,09/06/2020,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),CHOCTAW DR,BATON ROUGE,LA,-91.15286003644,30.470665731582
THE FOX SHOP LLC,05/01/2018,O,,454100,Internet Sales Only,RETAIL TRADE (G),MERRIMAC AVE,BATON ROUGE,LA,-90.999368243008,30.40473701117
JOHMEL JOLLA,10/01/2011,C,12/31/2012,812000,Personal & Laundry Services,OTHER SERVICES (I),PLANK RD,BATON ROUGE,LA,-91.159079237108,30.483586112333
SK&K TRUCKING CO LLC,01/01/2016,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),MISSION DR,BATON ROUGE,LA,-91.145490257668,30.481767968966
SUMMIT PARTNERS PUBLISHING LLC,01/02/2015,O,,453000,Miscellaneous Store Retailers,RETAIL TRADE (G),SHADY CREEK AVE,BATON ROUGE,LA,-90.99220161576,30.417914914452
DH & E CONSTRUCTION LLC,04/28/2017,O,,236000,Construction of Buildings,CONSTRUCTION ( C ),PINEHAVEN DR,BATON ROUGE,LA,-91.113524023784,30.35694547502
GO DUMB LLC,09/26/2014,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),GREENWELL SPRINGS RD,BATON ROUGE,LA,-91.128884748688,30.468585225686
BUDGET RENT A CAR SYSTEM INC,10/01/2014,O,,532000,Rental & Leasing Services,FINANCE & INSURANCE,AIRLINE HWY,BATON ROUGE,LA,-91.081269663321,30.430730315354
BUDGET RENT A CAR SYSTEM INC,10/01/2014,O,,532000,Rental & Leasing Services,FINANCE & INSURANCE,JACKIE COCHRAN DR,BATON ROUGE,LA,-91.156518745557,30.532729121221
CHRISTINE CARLINO,05/15/2017,O,,812000,Personal & Laundry Services,OTHER SERVICES (I),JEFFERSON HWY,BATON ROUGE,LA,-91.108156117715,30.430463012654
AMERICAN RETIREMENT SOLUTIONS OF LA LLC,01/01/2016,O,,521000,Monetary Authorities,FINANCE & INSURANCE,S SHERWOOD FOREST BLVD,BATON ROUGE,LA,-91.052048724215,30.419627024818
DMK RENOVATIONS LLC,08/25/2016,O,,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),MC SHAY AVE,BATON ROUGE,LA,-91.094894299429,30.370597024886
CENTER FOR AUTISM AND RELATED DISORDERS LLC,08/10/2018,O,,621000,Ambulatory Health Care Services,HEALTH CARE & SOCIAL ASSISTANCE (I),ROYAL ST,BATON ROUGE,LA,-91.184718215061,30.440997583083
ALFORD L DUNN,04/19/2021,O,,454000,Nonstore Retailers,RETAIL TRADE (G),WHITFIELD ST,BATON ROUGE,LA,-91.164220748894,30.528263271641
AASTHA LLC,07/24/2015,O,,721000,Accommodation,ACCOMODATION & FOOD SERVICES (I),RIEGER RD,BATON ROUGE,LA,-91.063252442017,30.383489009884
HOWELL HOTEL LLC,03/15/2019,O,,721000,Accommodation,ACCOMODATION & FOOD SERVICES (I),HOWELL BLVD,BATON ROUGE,LA,-91.157112191576,30.519542988853
ALL THINGS PINK LLC,11/27/2018,O,,454100,Internet Sales Only,RETAIL TRADE (G),SIEGEN LN,BATON ROUGE,LA,-91.07293700656,30.369827551506
ALL THINGS PINK LLC,11/27/2018,O,,454100,Internet Sales Only,RETAIL TRADE (G),SIEGEN LN,BATON ROUGE,LA,-91.072890946986,30.369880325607
RUEKESHIA WICKER,07/01/2015,O,,454000,Nonstore Retailers,RETAIL TRADE (G),SYCAMORE ST,BATON ROUGE,LA,-91.156188737569,30.494362744629
LEROY BERRY,11/21/2016,O,,238000,Specialty Trade Contractors,CONSTRUCTION ( C ),79TH AVE,BATON ROUGE,LA,-91.167007538447,30.51952357599
BETTYS DINER LLC,08/16/2016,O,,722000,Food Services & Drinking Places,ACCOMODATION & FOOD SERVICES (I),PLANK RD,BATON ROUGE,LA,-91.144115281413,30.522176007432
PATRICE THOMAS,10/16/2015,O,,815000,Miscellaneous Other Services,OTHER SERVICES (I),WETHERILL ST,BATON ROUGE,LA,-91.180084677688,30.530871771565
